Time, GazeX, GazeY, GazeZ, CamX, CamY, CamZ
4/22/2019 12:22:36 PM,427.1487,2.371815,436.71,428.2822,5.842665,424.7223
4/22/2019 12:22:36 PM,427.2226,2.315892,436.71,428.2836,5.842178,424.7251
4/22/2019 12:22:37 PM,414.0181,3.528456,474.3474,428.538,6.562373,424.3278
4/22/2019 12:22:38 PM,438.7244,15.17983,456.008,428.1805,5.919003,424.5696
4/22/2019 12:22:38 PM,443.7764,14.51511,456.008,428.3564,5.665276,424.5231
4/22/2019 12:22:39 PM,443.7674,14.60971,456.008,428.3567,5.665435,424.5228
4/22/2019 12:22:39 PM,443.62,14.56202,456.008,428.3567,5.663768,424.524
