Time, GazeX, GazeY, GazeZ, CamX, CamY, CamZ
4/20/2019 5:40:32 PM,431.4029,1.714483,448.4799,431.6407,1.785519,449.3642
4/20/2019 5:40:33 PM,431.3767,1.736141,448.4799,431.663,1.784576,449.3406
4/20/2019 5:40:33 PM,431.4237,1.733218,448.4799,431.6867,1.784171,449.3468
4/20/2019 5:40:34 PM,431.4421,1.739931,448.4799,431.6855,1.783292,449.3553
4/20/2019 5:40:35 PM,431.4674,1.75453,448.4799,431.6093,1.785104,449.3589
4/20/2019 5:40:35 PM,431.3023,1.766419,448.4799,431.4933,1.797142,449.3964
4/20/2019 5:40:36 PM,431.3678,1.798212,449.085,431.4409,1.802941,449.4245
4/20/2019 5:40:36 PM,431.2303,1.804059,448.4799,431.4213,1.803767,449.4331
4/20/2019 5:40:37 PM,431.2435,1.828627,448.4799,431.4109,1.804147,449.4255
4/20/2019 5:40:38 PM,431.2416,1.837124,448.4799,431.4111,1.805696,449.4183
4/20/2019 5:40:38 PM,431.3738,1.805304,449.085,431.4197,1.803384,449.411
4/20/2019 5:40:39 PM,431.3027,1.812198,448.4799,431.42,1.803314,449.4129
4/20/2019 5:40:39 PM,431.2946,1.816824,448.4799,431.4118,1.802939,449.4179
4/20/2019 5:40:40 PM,431.2704,1.843086,448.4799,431.4053,1.805098,449.4294
4/20/2019 5:40:41 PM,431.3479,1.814766,449.085,431.3875,1.804168,449.43
4/20/2019 5:40:41 PM,431.278,1.836444,448.4799,431.3699,1.802482,449.4304
4/20/2019 5:40:42 PM,431.3452,1.807311,449.085,431.366,1.799931,449.4205
