Time, GazeX, GazeY, GazeZ, CamX, CamY, CamZ
4/22/2019 12:24:27 PM,443.8461,9.727945,456.008,428.369,0.6785533,424.5133
4/22/2019 12:24:28 PM,443.8501,9.720328,456.008,428.3688,0.6785874,424.5139
4/22/2019 12:24:28 PM,443.5963,10.06213,456.008,428.3698,0.6785436,424.5043
4/22/2019 12:24:29 PM,430.6955,0.5852875,431.3631,428.3882,0.6843305,424.5563
4/22/2019 12:24:30 PM,431.8735,0.7598078,434.5844,428.3887,0.6832345,424.5455
4/22/2019 12:24:30 PM,441.119,7.576409,456.008,428.368,0.6798012,424.4933
4/22/2019 12:24:31 PM,436.3295,0.3405185,444.6494,428.3894,0.6844249,424.5705
4/22/2019 12:24:31 PM,443.7296,7.371948,456.008,428.3634,0.6801572,424.5256
4/22/2019 12:24:32 PM,444.3643,6.815435,456.008,428.3648,0.6803198,424.5368
4/22/2019 12:24:33 PM,443.7856,2.719892,456.008,428.3815,0.6822279,424.572
4/22/2019 12:24:33 PM,444.6764,10.20534,456.008,428.352,0.678618,424.5007
4/22/2019 12:24:34 PM,444.6769,10.18315,456.008,428.3526,0.6784521,424.502
4/22/2019 12:24:34 PM,444.559,10.17157,456.008,428.3529,0.6783615,424.5015
4/22/2019 12:24:35 PM,444.5695,10.18878,456.008,428.3538,0.678378,424.5007
