Time, GazeX, GazeY, GazeZ, CamX, CamY, CamZ
4/22/2019 12:29:44 PM,444.5384,10.47351,456.008,428.3506,0.9207212,424.5011
4/22/2019 12:29:44 PM,444.6571,10.48436,456.008,428.3495,0.9208363,424.5016
4/22/2019 12:29:45 PM,444.6481,10.49172,456.008,428.3494,0.9208523,424.5019
4/22/2019 12:29:46 PM,444.683,10.48892,456.008,428.3502,0.9208668,424.5018
4/22/2019 12:29:46 PM,444.7073,10.47582,456.008,428.35,0.9208333,424.5009
4/22/2019 12:29:47 PM,444.656,10.47514,456.008,428.3511,0.9207752,424.501
4/22/2019 12:29:48 PM,444.6787,10.46923,456.008,428.3504,0.9206981,424.5016
4/22/2019 12:29:48 PM,444.5789,10.48486,456.008,428.3506,0.9206782,424.5018
4/22/2019 12:29:49 PM,444.6529,10.48003,456.008,428.352,0.9206476,424.5011
4/22/2019 12:29:49 PM,444.7254,10.46074,456.008,428.3528,0.9205969,424.5009
4/22/2019 12:29:50 PM,445.4754,9.578148,456.008,428.3839,0.921245,424.542
4/22/2019 12:29:51 PM,428.0011,1.019776,424.8453,428.0379,1.044302,424.4238
4/22/2019 12:29:51 PM,436.084,8.569774,456.008,428.8183,1.375904,423.6703
4/22/2019 12:29:52 PM,441.0812,10.60139,456.008,429.4435,1.488696,422.7232
4/22/2019 12:29:52 PM,434.2331,1.797429,441.955,429.4733,1.358864,422.941
4/22/2019 12:29:53 PM,434.5194,1.644014,444.9949,429.373,1.335983,423.0573
4/22/2019 12:29:54 PM,440.9914,2.41802,456.008,429.5678,1.344527,422.9569
4/22/2019 12:29:54 PM,432.6587,2.116016,442.4999,429.1553,1.328002,423.3541
4/22/2019 12:29:55 PM,432.5611,5.173522,450.4829,429.0244,1.402305,423.2313
4/22/2019 12:29:55 PM,584.6917,356.0182,1583.697,428.9639,1.530788,422.1038
4/22/2019 12:29:56 PM,437.4717,25.25676,456.008,429.8029,1.826812,421.9315
4/22/2019 12:29:57 PM,439.8071,9.579381,456.008,430.7309,1.876589,421.7448
4/22/2019 12:29:58 PM,437.0146,6.376779,456.008,430.7841,1.815956,421.972
4/22/2019 12:29:58 PM,436.0381,4.822818,456.008,430.6116,1.787892,422.3842
4/22/2019 12:29:59 PM,435.1205,6.701393,456.008,430.4095,1.800815,422.5375
4/22/2019 12:30:00 PM,428.125,1.576137,443.0991,429.442,1.417329,423.7711
4/22/2019 12:30:00 PM,427.2719,0.2000427,425.9964,428.0543,0.9810409,424.2193
4/22/2019 12:30:01 PM,414.0181,8.59557,462.5406,428.17,0.9250691,424.1218
4/22/2019 12:30:01 PM,413.6952,13.01987,456,428.1969,0.9231247,424.0386
4/22/2019 12:30:02 PM,413.8636,13.04755,456,428.1969,0.9231392,424.04
4/22/2019 12:30:02 PM,413.7775,13.05492,456,428.199,0.9230303,424.0393
4/22/2019 12:30:03 PM,413.7474,13.03685,456,428.2,0.922985,424.0386
4/22/2019 12:30:04 PM,413.6897,13.03528,456,428.2042,0.9227441,424.0403
4/22/2019 12:30:04 PM,413.7988,13.02943,456,428.2043,0.9227043,424.0384
4/22/2019 12:30:05 PM,413.6045,13.1031,456,428.2043,0.9226965,424.0405
4/22/2019 12:30:05 PM,413.5522,13.08791,456,428.2057,0.922372,424.0386
4/22/2019 12:30:06 PM,413.7284,13.1163,456,428.2097,0.9222432,424.0374
4/22/2019 12:30:06 PM,413.4683,13.23656,456,428.211,0.9222542,424.0402
4/22/2019 12:30:07 PM,413.432,13.21842,456,428.2133,0.9218819,424.0388
4/22/2019 12:30:08 PM,413.469,13.19773,456,428.2146,0.9218931,424.0384
4/22/2019 12:30:09 PM,413.4246,13.20253,456,428.2187,0.9211708,424.0367
4/22/2019 12:30:09 PM,413.4612,13.21714,456,428.2213,0.9213216,424.0363
4/22/2019 12:30:10 PM,413.3287,13.20469,456,428.2237,0.9211709,424.0356
4/22/2019 12:30:10 PM,413.3764,13.20484,456,428.2252,0.9209044,424.0338
4/22/2019 12:30:11 PM,413.3523,13.19314,456,428.2274,0.9208392,424.0335
4/22/2019 12:30:11 PM,413.2795,13.20495,456,428.2304,0.9204684,424.0314
4/22/2019 12:30:12 PM,413.2918,13.23761,456,428.2322,0.9202951,424.0308
