Time, GazeX, GazeY, GazeZ, CamX, CamY, CamZ
4/20/2019 5:41:06 PM,429.6146,1.555897,448.4799,431.9167,1.77677,449.4776
4/20/2019 5:41:06 PM,429.7842,1.708626,448.4799,431.8614,1.786143,449.4731
4/20/2019 5:41:07 PM,429.5224,1.720298,448.4799,431.875,1.787331,449.4583
4/20/2019 5:41:08 PM,430.9127,1.789899,449.085,431.9307,1.792704,449.5166
4/20/2019 5:41:08 PM,431.1139,1.757334,448.4799,432.0084,1.795246,449.4658
4/20/2019 5:41:09 PM,432.049,1.813279,449.085,432.1039,1.80531,449.4466
4/20/2019 5:41:09 PM,432.0222,1.855818,448.5655,432.0974,1.809319,449.5068
4/20/2019 5:41:10 PM,431.8895,1.861624,448.4799,432.0945,1.809472,449.5374
4/20/2019 5:41:10 PM,431.9599,1.819823,449.085,432.1163,1.805603,449.5444
4/20/2019 5:41:11 PM,431.0377,1.855151,448.4799,432.0873,1.805932,449.5902
4/20/2019 5:41:12 PM,428.5974,2.01945,448.4799,432.0341,1.805469,449.68
4/20/2019 5:41:12 PM,429.1197,2.03828,448.4799,432.0235,1.807116,449.6585
4/20/2019 5:41:13 PM,428.6924,2.06967,448.4799,432.0079,1.805053,449.6397
4/20/2019 5:41:13 PM,369,10.78448,429.0651,431.9864,1.808269,449.6417
4/20/2019 5:41:14 PM,369,11.97746,428.412,431.9763,1.810295,449.6292
4/20/2019 5:41:14 PM,369,12.60519,428.2648,431.9554,1.811548,449.6357
4/20/2019 5:41:15 PM,428.6597,2.351614,448.4799,431.9534,1.810255,449.6298
