Time, GazeX, GazeY, GazeZ, CamX, CamY, CamZ
4/22/2019 2:56:02 PM,428.125,1.098683,424.4662,428.361,0.9086104,423.9833
4/22/2019 2:56:03 PM,428.125,1.097448,424.4684,428.3575,0.9088624,423.9892
4/22/2019 2:56:03 PM,428.125,1.095763,424.4646,428.3575,0.9090257,423.9882
4/22/2019 2:56:04 PM,428.125,1.096831,424.4654,428.3551,0.9092218,423.9885
4/22/2019 2:56:05 PM,428.125,1.095052,424.4608,428.3557,0.9090495,423.9877
4/22/2019 2:56:05 PM,428.125,1.096327,424.4648,428.3551,0.9092583,423.9889
4/22/2019 2:56:06 PM,428.125,1.094129,424.4602,428.3542,0.909279,423.9893
4/22/2019 2:56:06 PM,428.125,1.094453,424.4598,428.3536,0.9093992,423.9888
4/22/2019 2:56:07 PM,428.125,1.09432,424.4595,428.3535,0.9093078,423.9894
4/22/2019 2:56:07 PM,428.125,1.092421,424.4561,428.352,0.9094511,423.9902
4/22/2019 2:56:08 PM,428.125,1.092331,424.4557,428.3518,0.909488,423.9905
4/22/2019 2:56:09 PM,428.125,1.093664,424.4591,428.3516,0.9095142,423.9901
4/22/2019 2:56:09 PM,428.125,1.090866,424.452,428.3513,0.9095495,423.9903
4/22/2019 2:56:10 PM,428.125,1.093968,424.4581,428.3511,0.9095829,423.9896
4/22/2019 2:56:10 PM,428.125,1.090764,424.4503,428.3515,0.9094948,423.9887
4/22/2019 2:56:11 PM,428.125,1.09387,424.4588,428.3518,0.9095605,423.9891
4/22/2019 2:56:12 PM,428.125,1.094045,424.4573,428.3521,0.9094758,423.9888
4/22/2019 2:56:12 PM,428.125,1.092371,424.4563,428.3515,0.9095348,423.9899
4/22/2019 2:56:13 PM,428.125,1.092036,424.4533,428.3516,0.909504,423.9894
4/22/2019 2:56:13 PM,428.125,1.092759,424.457,428.3522,0.9094822,423.9901
4/22/2019 2:56:14 PM,428.125,1.092052,424.454,428.352,0.9093992,423.9893
4/22/2019 2:56:15 PM,428.125,1.091156,424.4538,428.3517,0.9095294,423.9905
4/22/2019 2:56:16 PM,428.125,1.091795,424.4553,428.3512,0.9095457,423.9905
4/22/2019 2:56:16 PM,428.125,1.093562,424.4572,428.3518,0.90948,423.9893
4/22/2019 2:56:17 PM,428.125,1.09219,424.4543,428.3512,0.909624,423.9895
