Time, GazeX, GazeY, GazeZ, CamX, CamY, CamZ
4/20/2019 5:44:47 PM,431.9768,1.642875,445.9849,432.2036,1.793692,448.1723
4/20/2019 5:44:47 PM,433.072,1.764936,446.045,432.2582,1.7988,448.2417
4/20/2019 5:44:48 PM,438.8891,1.778576,445.7352,432.3696,1.798268,448.3939
4/20/2019 5:44:49 PM,432.6521,1.796224,448.4799,432.4957,1.793203,448.5137
4/20/2019 5:44:49 PM,432.8541,1.774147,448.4799,432.5593,1.776662,448.5675
4/20/2019 5:44:50 PM,432.9395,1.775543,448.4799,432.3181,1.792619,448.5977
4/20/2019 5:44:51 PM,436.9721,1.801032,448.2354,432.1797,1.790291,448.6718
4/20/2019 5:44:51 PM,434.4225,1.754968,448.7575,432.4511,1.788263,449.0937
4/20/2019 5:44:52 PM,433.874,1.71116,449.085,432.6569,1.784799,449.4118
4/20/2019 5:44:52 PM,436.7131,1.767435,448.4291,432.3394,1.804341,449.49
4/20/2019 5:44:53 PM,465.6244,2.881561,435.0204,432.2674,1.799843,449.506
4/20/2019 5:44:54 PM,459,3.025794,427.4898,432.593,1.800131,449.8253
4/20/2019 5:44:54 PM,433.3641,1.787765,449.085,432.6097,1.79558,449.9015
4/20/2019 5:44:55 PM,437.6703,1.020693,446.045,432.3407,1.795798,450.0296
4/20/2019 5:44:55 PM,437.2039,0.009963989,447.7538,432.2076,1.769891,450.1451
4/20/2019 5:44:56 PM,433.5049,1.273227,449.265,432.3279,1.776575,450.2365
4/20/2019 5:44:57 PM,430.9847,1.513258,449.085,432.2453,1.790274,450.2393
4/20/2019 5:44:57 PM,427.39,1.526171,448.8221,432.2907,1.791141,450.3362
4/20/2019 5:44:58 PM,427.39,1.831617,448.944,432.1127,1.797413,450.3721
4/20/2019 5:44:58 PM,427.39,1.881325,449.088,431.9528,1.802274,450.3922
4/20/2019 5:44:59 PM,427.39,1.908057,449.123,431.9812,1.800987,450.3669
4/20/2019 5:45:00 PM,421.16,1.759876,446.3731,431.9851,1.798982,450.3778
4/20/2019 5:45:01 PM,421.16,1.78768,446.065,431.9676,1.798495,450.3913
4/20/2019 5:45:01 PM,421.16,2.1935,445.7997,432.0285,1.801246,450.3668
4/20/2019 5:45:02 PM,431.5829,1.695431,448.4799,432.1493,1.798372,450.2412
4/20/2019 5:45:02 PM,433.1317,1.779418,448.4799,432.2138,1.807553,450.258
4/20/2019 5:45:03 PM,459.769,2.153517,435.0204,432.1177,1.807192,450.2948
4/20/2019 5:45:03 PM,433.493,1.738165,448.4799,431.8627,1.79783,450.1887
4/20/2019 5:45:04 PM,431.7205,1.865326,448.4799,431.7185,1.794371,449.7388
4/20/2019 5:45:05 PM,431.6609,1.857531,448.4799,431.705,1.810428,449.1067
4/20/2019 5:45:05 PM,431.4325,1.810334,448.4799,431.3972,1.806588,448.615
4/20/2019 5:45:06 PM,444.5331,2.385006,435,431.1514,1.802889,448.1208
4/20/2019 5:45:06 PM,449.4076,2.634217,435,431.2677,1.785918,447.3379
4/20/2019 5:45:07 PM,459.7704,3.416723,435.0204,430.7919,1.799776,446.1833
4/20/2019 5:45:08 PM,436.9947,1.830013,443.0075,430.7431,1.796176,445.6257
4/20/2019 5:45:08 PM,436.9947,1.733993,442.3471,431.1472,1.790857,445.0371
4/20/2019 5:45:09 PM,436.9947,1.754824,442.2596,431.1708,1.783932,444.6469
4/20/2019 5:45:10 PM,459,2.307982,433.1116,430.7952,1.795815,444.0574
4/20/2019 5:45:10 PM,437.1404,1.896592,435,430.6193,1.795343,443.5338
4/20/2019 5:45:11 PM,435.1813,2.074215,435,430.8007,1.797178,442.9326
4/20/2019 5:45:12 PM,436.9757,1.844328,435,430.4976,1.806575,442.2629
4/20/2019 5:45:12 PM,437.8586,1.530188,435,430.3245,1.802571,441.8901
4/20/2019 5:45:13 PM,452.4957,0.09975985,437.283,430.631,1.78894,441.6635
4/20/2019 5:45:13 PM,456.1789,1.312201,441.8807,430.8299,1.795702,441.3662
4/20/2019 5:45:14 PM,446.3695,0.009963989,445.9475,430.6779,1.796467,441.2032
