Time, GazeX, GazeY, GazeZ, CamX, CamY, CamZ
4/20/2019 5:41:29 PM,436.1465,1.710279,446.045,432.5906,1.809916,450.3474
4/20/2019 5:41:30 PM,432.7108,1.765648,448.4799,432.5221,1.808516,450.2758
4/20/2019 5:41:31 PM,432.2084,1.854551,448.4799,432.4287,1.812156,450.2817
4/20/2019 5:41:31 PM,431.828,1.343869,448.4799,432.3484,1.78698,450.2521
4/20/2019 5:41:32 PM,431.3772,0.7404335,449.265,432.4191,1.749103,450.296
4/20/2019 5:41:32 PM,429.3576,6.57765E-07,449.5303,432.5858,1.754162,450.3856
4/20/2019 5:41:33 PM,427.8153,0.009963989,449.263,432.4597,1.765791,450.4962
4/20/2019 5:41:34 PM,427.8954,1.180809,449.085,432.1282,1.784819,450.707
4/20/2019 5:41:34 PM,424.1706,0.9271998,446.045,432.1747,1.796368,450.795
4/20/2019 5:41:35 PM,431.1634,0.8950825,448.4799,432.2354,1.768228,450.6723
4/20/2019 5:41:36 PM,431.6502,1.577042,449.085,432.005,1.796769,450.6986
4/20/2019 5:41:36 PM,431.9671,1.702275,448.4799,431.8796,1.795512,450.6538
4/20/2019 5:41:37 PM,431.9924,1.799082,448.4799,431.8905,1.809527,450.6442
4/20/2019 5:41:38 PM,432.0756,1.817137,448.4799,431.9117,1.813525,450.6205
4/20/2019 5:41:38 PM,432.0407,1.860616,449.085,431.9573,1.818161,450.6261
4/20/2019 5:41:39 PM,432.2915,1.967445,448.4799,431.9745,1.821158,450.649
4/20/2019 5:41:39 PM,432.3476,1.985463,448.4799,431.9533,1.821307,450.6794
4/20/2019 5:41:40 PM,432.303,1.974846,448.4799,431.9374,1.822744,450.6898
4/20/2019 5:41:41 PM,432.3224,1.973979,448.4799,431.9531,1.822133,450.6697
4/20/2019 5:41:41 PM,432.3539,1.984773,448.4799,431.9885,1.822784,450.6968
4/20/2019 5:41:42 PM,432.2071,1.993312,448.4799,431.9919,1.823197,450.6808
4/20/2019 5:41:43 PM,432.0774,2.09421,448.4799,432.0039,1.82477,450.6548
4/20/2019 5:41:43 PM,432.0559,1.994094,448.4799,432.0001,1.820228,450.6171
