Time, GazeX, GazeY, GazeZ, CamX, CamY, CamZ
4/22/2019 12:06:34 PM,272.9768,8.523452,457.432,441.3053,2.120754,436.8903
4/22/2019 12:06:35 PM,427.325,2.303015,437.8433,441.2162,2.117034,436.8661
4/22/2019 12:06:36 PM,317.6207,6.286681,456.0063,441.2355,2.118616,436.9049
4/22/2019 12:06:36 PM,414.02,6.43308,479.0461,441.5455,2.120512,437.3154
4/22/2019 12:06:37 PM,436.4487,2.085165,456.008,441.7054,2.109537,437.4921
4/22/2019 12:06:38 PM,442.0286,1.480406,444.839,441.7896,2.096158,437.6156
4/22/2019 12:06:38 PM,299.8215,39.74639,455.982,441.3279,2.143193,436.9738
4/22/2019 12:06:39 PM,414,7.269149,431.7058,441.3916,2.136303,436.7862
4/22/2019 12:06:39 PM,414,3.757823,434.066,441.2029,2.122038,436.719
4/22/2019 12:06:40 PM,414,1.976858,434.3253,441.0643,2.113555,436.5958
4/22/2019 12:06:41 PM,404.5738,1.736237,434.9945,441.0534,2.113086,436.706
4/22/2019 12:06:41 PM,427.325,1.54655,436.8725,441.1407,2.109887,436.8272
4/22/2019 12:06:42 PM,429.665,1.468012,437.2888,441.1581,2.107589,436.9681
4/22/2019 12:06:42 PM,427.325,1.279541,437.7949,441.1686,2.107573,437.0482
4/22/2019 12:06:43 PM,374.7901,0.09975984,435.0983,441.1422,2.110425,437
4/22/2019 12:06:44 PM,427.325,1.880786,437.2675,441.0981,2.110584,436.8798
4/22/2019 12:06:44 PM,437.0648,0.09976012,439.5969,440.6879,2.041886,437.0544
4/22/2019 12:06:45 PM,436.7166,0.09976002,439.054,439.4674,2.005453,437.9432
4/22/2019 12:06:45 PM,432.46,1.105388,438.6763,438.5851,2.079566,438.1848
4/22/2019 12:06:46 PM,431.105,1.441923,439.0753,437.7458,2.100119,437.8907
4/22/2019 12:06:47 PM,427.325,1.370368,439.9596,436.6588,2.102996,438.973
4/22/2019 12:06:48 PM,432.0566,1.10285,442.4999,435.9765,2.089209,440.5772
