Time, GazeX, GazeY, GazeZ, CamX, CamY, CamZ
4/22/2019 12:23:21 PM,443.7343,14.65598,456.008,428.3701,5.654293,424.5131
4/22/2019 12:23:21 PM,443.7522,14.656,456.008,428.3699,5.65455,424.5128
4/22/2019 12:23:22 PM,443.7379,14.70734,456.008,428.37,5.655038,424.5137
4/22/2019 12:23:25 PM,443.7438,14.65841,456.008,428.3701,5.654621,424.5131
4/22/2019 12:23:26 PM,443.7148,14.66395,456.008,428.3703,5.654695,424.5125
4/22/2019 12:23:26 PM,443.7785,14.63913,456.008,428.3701,5.654109,424.5129
4/22/2019 12:23:27 PM,443.7846,14.64899,456.008,428.37,5.654707,424.5128
4/22/2019 12:23:28 PM,443.7196,14.6663,456.008,428.3703,5.655295,424.5133
4/22/2019 12:23:28 PM,443.8796,14.6739,456.008,428.3697,5.654565,424.5129
4/22/2019 12:23:29 PM,443.8547,14.71217,456.008,428.3699,5.655191,424.5135
4/22/2019 12:23:30 PM,443.7204,14.66044,456.008,428.3701,5.654964,424.5134
4/22/2019 12:23:31 PM,443.824,14.66695,456.008,428.3705,5.654439,424.5131
4/22/2019 12:23:31 PM,443.8127,14.68851,456.008,428.3701,5.655197,424.514
4/22/2019 12:23:32 PM,443.784,14.66428,456.008,428.3702,5.654486,424.5135
4/22/2019 12:23:32 PM,443.7223,14.67504,456.008,428.3712,5.654578,424.514
4/22/2019 12:23:33 PM,443.7604,14.67585,456.008,428.3708,5.654499,424.5141
4/22/2019 12:23:33 PM,443.7891,14.68671,456.008,428.3707,5.654655,424.5135
4/22/2019 12:23:34 PM,443.7359,14.68593,456.008,428.3712,5.654701,424.5135
4/22/2019 12:23:35 PM,443.73,14.68336,456.008,428.371,5.65466,424.5127
4/22/2019 12:23:35 PM,443.7261,14.68288,456.008,428.3705,5.654547,424.5126
