Time, GazeX, GazeY, GazeZ, CamX, CamY, CamZ
4/20/2019 5:45:43 PM,432.472,1.731934,448.4799,432.553,1.791538,448.9249
4/20/2019 5:45:44 PM,432.5914,1.738256,448.4799,432.3684,1.786785,448.984
4/20/2019 5:45:45 PM,440.3481,1.260464,446.045,432.6097,1.793847,449.2721
4/20/2019 5:45:45 PM,448.9887,0.7534786,445.1451,432.874,1.793783,449.5189
4/20/2019 5:45:46 PM,434.9831,1.668582,449.085,432.945,1.778447,449.7279
4/20/2019 5:45:46 PM,445.6881,1.853003,445.4994,432.6652,1.800251,449.8257
4/20/2019 5:45:47 PM,436.9721,1.803907,448.2247,432.5048,1.790174,449.7656
4/20/2019 5:45:48 PM,434.6273,1.803114,449.085,432.7715,1.795299,449.9909
4/20/2019 5:45:48 PM,433.5469,1.646465,449.085,432.9428,1.780478,450.0924
4/20/2019 5:45:49 PM,427.9131,1.286067,448.5231,432.675,1.783046,450.2278
4/20/2019 5:45:49 PM,427.39,1.804534,448.9955,432.5742,1.794516,450.1873
4/20/2019 5:45:50 PM,379.9822,4.615335,434.979,432.3386,1.778481,450.0265
4/20/2019 5:45:50 PM,432.7054,1.710475,448.4799,432.6037,1.789678,450.2506
4/20/2019 5:45:51 PM,432.0565,1.765213,448.4799,432.599,1.802282,450.3284
4/20/2019 5:45:52 PM,427.39,1.620068,449.2926,432.4973,1.789194,450.3876
4/20/2019 5:45:52 PM,427.39,1.612733,449.1192,432.1517,1.785173,450.2977
4/20/2019 5:45:53 PM,427.39,1.719093,449.0742,432.0557,1.793166,450.4289
4/20/2019 5:45:54 PM,427.1156,1.85801,448.4552,432.2741,1.783673,450.5289
4/20/2019 5:45:54 PM,421.425,2.291716,445.5739,432.1975,1.797097,450.5551
4/20/2019 5:45:55 PM,421.425,1.842855,444.9335,431.9535,1.772671,450.1901
4/20/2019 5:45:55 PM,429.9805,1.599269,448.4799,431.9713,1.685583,449.4668
4/20/2019 5:45:56 PM,430.9619,1.668499,449.085,431.9516,1.722149,449.619
4/20/2019 5:45:57 PM,428.6188,1.65583,448.4799,432.0118,1.764501,450.4416
4/20/2019 5:45:58 PM,428.8275,1.812372,448.4799,432.0844,1.773212,450.4862
4/20/2019 5:45:58 PM,430.9245,1.660312,448.4799,431.9818,1.775083,450.2043
4/20/2019 5:45:59 PM,432.4594,1.725823,448.4799,431.9892,1.789851,449.9904
4/20/2019 5:45:59 PM,460.5606,1.907577,435.0204,432.3018,1.786337,449.6949
4/20/2019 5:46:00 PM,433.7599,1.755957,448.4799,432.3061,1.784861,449.4231
4/20/2019 5:46:01 PM,427.39,1.467874,449.1887,431.7842,1.774514,449.5193
4/20/2019 5:46:01 PM,428.8259,1.639723,448.4799,431.9057,1.775679,449.3829
4/20/2019 5:46:02 PM,431.9735,1.694978,448.4799,431.8745,1.772685,449.0477
4/20/2019 5:46:02 PM,431.8354,1.767602,448.4799,431.7095,1.77047,448.5808
4/20/2019 5:46:03 PM,438.8474,1.539162,443.125,431.7608,1.780907,447.6944
4/20/2019 5:46:03 PM,452.7425,1.81783,436.95,431.3875,1.786405,446.8737
4/20/2019 5:46:04 PM,443.552,1.278774,435,431.1038,1.766566,445.9345
4/20/2019 5:46:05 PM,435.0007,2.24924,432.0091,430.8425,1.790149,444.9819
4/20/2019 5:46:05 PM,431.46,1.654117,438.5893,430.4289,1.793212,444.2217
4/20/2019 5:46:06 PM,430.9071,1.461534,439.3349,430.3916,1.789646,443.5698
4/20/2019 5:46:06 PM,431.747,1.011675,438.8315,430.3271,1.770176,443.0417
4/20/2019 5:46:07 PM,434.902,0.09975993,438.4934,429.8669,1.777968,442.8333
4/20/2019 5:46:08 PM,438.5446,0.09975985,436.8954,429.8135,1.78455,442.6919
4/20/2019 5:46:08 PM,439.843,0.09975984,436.026,429.8326,1.785582,442.6206
4/20/2019 5:46:09 PM,431.8979,1.781043,442.0723,429.8005,1.796709,442.6956
4/20/2019 5:46:09 PM,459,3.797351,432.825,429.8261,1.799872,442.6456
4/20/2019 5:46:10 PM,459,6.855544,432.3313,429.727,1.796481,442.7786
4/20/2019 5:46:10 PM,484.7572,10.60916,434.9836,429.8013,1.79406,442.986
4/20/2019 5:46:11 PM,459,35.44344,426.0446,429.6425,1.817147,443.0177
4/20/2019 5:46:12 PM,432.6951,1.774062,442.3883,429.9358,1.777164,443.0812
4/20/2019 5:46:12 PM,463.9479,0.1578486,435.0204,430.0398,1.772322,442.9539
4/20/2019 5:46:13 PM,460.0687,3.637386,435.0204,429.8668,1.781269,442.9957
4/20/2019 5:46:13 PM,439.3911,0.09976023,440.2516,429.9514,1.782449,442.7099
4/20/2019 5:46:14 PM,446.2664,0.09975984,436.9668,429.7437,1.780703,442.4263
4/20/2019 5:46:14 PM,445.0063,1.594209,435,429.7701,1.787427,442.1457
4/20/2019 5:46:15 PM,459,1.290931,434.0558,429.735,1.801109,442.2183
